distributor_name,distributor_location,brand_name,box_id,product_id,instock_date,outstock_date,retailor_name,retailor_location
Symphony wines,"Girgaon, Mumbai",McDowell’s to brandy,JSB1,JSP1,2021-01-04,2021-01-10,Ramu crystal,D C halli main road Bommanhalli
Symphony wines,"Girgaon, Mumbai",McDowell’s to brandy,JSB1,JSP2,2021-01-04,2021-01-10,Ramu crystal,D C halli main road Bommanhalli
Symphony wines,"Girgaon, Mumbai",McDowell’s to brandy,JSB1,JSP3,2021-01-04,2021-01-10,Ramu crystal,D C halli main road Bommanhalli
Symphony wines,"Girgaon, Mumbai",McDowell’s to brandy,JSB1,JSP4,2021-01-04,2021-01-10,Ramu crystal,D C halli main road Bommanhalli
Kyndal india pvt. ltd.,"Hal 2nd Stage Indranagar, Bengaluru",McDowell’s to brandy,JSB2,JSP5,2021-01-25,2021-01-30,Tonique,feet road koaramanagala 5th block
Kyndal india pvt. ltd.,"Hal 2nd Stage Indranagar, Bengaluru",McDowell’s to brandy,JSB2,JSP6,2021-01-25,2021-01-30,Tonique,feet road koaramanagala 5th block
Kyndal india pvt. ltd.,"Hal 2nd Stage Indranagar, Bengaluru",McDowell’s to brandy,JSB2,JSP7,2021-01-25,2021-01-30,Tonique,feet road koaramanagala 5th block
Kyndal india pvt. ltd.,"Hal 2nd Stage Indranagar, Bengaluru",McDowell’s to brandy,JSB2,JSP8,2021-01-25,2021-01-30,Tonique,feet road koaramanagala 5th block
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB3,JSP9,2021-01-15,2021-01-20,Youb spirits,3rd block kalyan nagar
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB3,JSP10,2021-01-15,2021-01-20,Youb spirits,3rd block kalyan nagar
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB3,JSP11,2021-01-15,2021-01-20,Youb spirits,3rd block kalyan nagar
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB3,JSP12,2021-01-15,2021-01-20,Youb spirits,3rd block kalyan nagar
Dewars wine store,"No.25 St Marks Road, Bengaluru",Bagpiper whiskey,JSB4,JSP13,2021-01-18,2021-01-22,The winery,17th cross hsr layout sector 4
Dewars wine store,"No.25 St Marks Road, Bengaluru",Bagpiper whiskey,JSB4,JSP14,2021-01-18,2021-01-22,The winery,17th cross hsr layout sector 4
Dewars wine store,"No.25 St Marks Road, Bengaluru",Bagpiper whiskey,JSB4,JSP15,2021-01-18,2021-01-22,The winery,17th cross hsr layout sector 4
Dewars wine store,"No.25 St Marks Road, Bengaluru",Bagpiper whiskey,JSB4,JSP16,2021-01-18,2021-01-22,The winery,17th cross hsr layout sector 4
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Bagpiper whiskey,JSB5,JSP17,2021-01-17,2021-01-17,Ramu crystal,100 feet road indiranagar
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Bagpiper whiskey,JSB5,JSP18,2021-01-17,2021-01-17,Ramu crystal,100 feet road indiranagar
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Bagpiper whiskey,JSB5,JSP19,2021-01-17,2021-01-17,Ramu crystal,100 feet road indiranagar
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Bagpiper whiskey,JSB5,JSP20,2021-01-17,2021-01-17,Ramu crystal,100 feet road indiranagar
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Bagpiper whiskey,JSB6,JSP21,2021-01-04,2021-01-10,Tonique,100 feet road indiranagar
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Bagpiper whiskey,JSB6,JSP22,2021-01-04,2021-01-10,Tonique,100 feet road indiranagar
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Bagpiper whiskey,JSB6,JSP23,2021-01-04,2021-01-10,Tonique,100 feet road indiranagar
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Bagpiper whiskey,JSB6,JSP24,2021-01-04,2021-01-10,Tonique,100 feet road indiranagar
Dlr wines,"Lingampally, Hyderabad",McDowell’s to brandy,JSB7,JSP25,2021-01-17,2021-01-17,Svr liquor boutique,No.25 St marks road
Dlr wines,"Lingampally, Hyderabad",McDowell’s to brandy,JSB7,JSP26,2021-01-17,2021-01-17,Svr liquor boutique,No.25 St marks road
Dlr wines,"Lingampally, Hyderabad",McDowell’s to brandy,JSB7,JSP27,2021-01-17,2021-01-17,Svr liquor boutique,No.25 St marks road
Dlr wines,"Lingampally, Hyderabad",McDowell’s to brandy,JSB7,JSP28,2021-01-17,2021-01-17,Svr liquor boutique,No.25 St marks road
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB8,JSP29,2021-01-31,2021-02-03,Madhuloka the liquor boutique,Besava nagar
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB8,JSP30,2021-01-31,2021-02-03,Madhuloka the liquor boutique,Besava nagar
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB8,JSP31,2021-01-31,2021-02-03,Madhuloka the liquor boutique,Besava nagar
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB8,JSP32,2021-01-31,2021-02-03,Madhuloka the liquor boutique,Besava nagar
Diamond wines,"Kedari Nagar-wanowrie, Pune",McDowell’s to brandy,JSB9,JSP33,2021-01-23,2021-01-23,Tonique,3rd block kalyan nagar
Diamond wines,"Kedari Nagar-wanowrie, Pune",McDowell’s to brandy,JSB9,JSP34,2021-01-23,2021-01-23,Tonique,3rd block kalyan nagar
Diamond wines,"Kedari Nagar-wanowrie, Pune",McDowell’s to brandy,JSB9,JSP35,2021-01-23,2021-01-23,Tonique,3rd block kalyan nagar
Diamond wines,"Kedari Nagar-wanowrie, Pune",McDowell’s to brandy,JSB9,JSP36,2021-01-23,2021-01-23,Tonique,3rd block kalyan nagar
Universal spirites,"Mapusa, Goa",Bagpiper whiskey,JSB10,JSP37,2021-01-03,2021-01-04,Ramu crystal,No. 33/1A hosur main road
Universal spirites,"Mapusa, Goa",Bagpiper whiskey,JSB10,JSP38,2021-01-03,2021-01-04,Ramu crystal,No. 33/1A hosur main road
Universal spirites,"Mapusa, Goa",Bagpiper whiskey,JSB10,JSP39,2021-01-03,2021-01-04,Ramu crystal,No. 33/1A hosur main road
Universal spirites,"Mapusa, Goa",Bagpiper whiskey,JSB10,JSP40,2021-01-03,2021-01-04,Ramu crystal,No. 33/1A hosur main road
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB11,JSP41,2021-02-02,2021-02-04,Spirits of suraloka,Besava nagar
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB11,JSP42,2021-02-02,2021-02-04,Spirits of suraloka,Besava nagar
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB11,JSP43,2021-02-02,2021-02-04,Spirits of suraloka,Besava nagar
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB11,JSP44,2021-02-02,2021-02-04,Spirits of suraloka,Besava nagar
Dlr wines,"Lingampally, Hyderabad",Old Monk rum,JSB12,JSP45,2021-01-29,2021-01-31,Spirits of suraloka,D C halli main road Bommanhalli
Dlr wines,"Lingampally, Hyderabad",Old Monk rum,JSB12,JSP46,2021-01-29,2021-01-31,Spirits of suraloka,D C halli main road Bommanhalli
Dlr wines,"Lingampally, Hyderabad",Old Monk rum,JSB12,JSP47,2021-01-29,2021-01-31,Spirits of suraloka,D C halli main road Bommanhalli
Dlr wines,"Lingampally, Hyderabad",Old Monk rum,JSB12,JSP48,2021-01-29,2021-01-31,Spirits of suraloka,D C halli main road Bommanhalli
Universal spirites,"Mapusa, Goa",Old Monk rum,JSB13,JSP49,2021-01-25,2021-01-30,Fortune spirits,Hal 2nd stage-indranagar
Universal spirites,"Mapusa, Goa",Old Monk rum,JSB13,JSP50,2021-01-25,2021-01-30,Fortune spirits,Hal 2nd stage-indranagar
Universal spirites,"Mapusa, Goa",Old Monk rum,JSB13,JSP51,2021-01-25,2021-01-30,Fortune spirits,Hal 2nd stage-indranagar
